adl-parser,0.2-beta-2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.2-beta-2&e=pom, ,
adl-backend,0.2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.2&e=pom, ,
adl-frontend,0.2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.2&e=pom, ,
adl-parser,0.2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.2&e=pom, ,
adl-backend,0.2.1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.2.1&e=pom, ,
adl-frontend,0.2.1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.2.1&e=pom, ,
adl-parser,0.2.1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.2.1&e=pom, ,
adl-rmi,0.8,org.objectweb.fractal.bf.itests,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf.itests&a=adl-rmi&v=0.8&e=pom, ,
adl-backend,0.2.2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.2.2&e=pom, ,
adl-frontend,0.2.2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.2.2&e=pom, ,
adl-parser,0.2.2,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.2.2&e=pom, ,
adl-backend,0.2.3,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.2.3&e=pom, ,
adl-frontend,0.2.3,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.2.3&e=pom, ,
adl-parser,0.2.3,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.2.3&e=pom, ,
adl-backend,0.2.3a,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.2.3a&e=pom, ,
adl-frontend,0.2.3a,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.2.3a&e=pom, ,
adl-parser,0.2.3a,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.2.3a&e=pom, ,
adl-backend,0.3-beta-1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-backend&v=0.3-beta-1&e=pom, ,
adl-frontend,0.3-beta-1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-frontend&v=0.3-beta-1&e=pom, ,
adl-parser,0.3-beta-1,org.ow2.mind,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.ow2.mind&a=adl-parser&v=0.3-beta-1&e=pom, ,
adl-rmi,0.5,org.objectweb.fractal.bf.itests,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf.itests&a=adl-rmi&v=0.5&e=pom, ,
adl-ws,0.5,org.objectweb.fractal.bf.itests,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf.itests&a=adl-ws&v=0.5&e=pom, ,
adl-rmi,0.9,org.objectweb.fractal.bf.itests,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.objectweb.fractal.bf.itests&a=adl-rmi&v=0.9&e=pom, ,
adminapi-sdk,3.1,roller,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=roller&a=adminapi-sdk&v=3.1&e=pom, ,
adminapi-sdk,3.1RC3,roller,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=roller&a=adminapi-sdk&v=3.1RC3&e=pom, ,
adminapi-sdk,3.1RC8,roller,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=roller&a=adminapi-sdk&v=3.1RC8&e=pom, ,
ado20,1.0,org.jvnet.com4j.typelibs,central-proxy,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=central-proxy&g=org.jvnet.com4j.typelibs&a=ado20&v=1.0&e=pom, ,
adt,4.5.1.21328,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.5.1.21328&e=pom, ,
adt,4.5.0.20967,com.adobe.flex.compiler,flex,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=flex&g=com.adobe.flex.compiler&a=adt&v=4.5.0.20967&e=pom, ,
