com.noahsloan.atg_atg-resolver_1.0,org.apache.ivy_ivy
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.5,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing_0.5,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.7,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.7,org.apache.xmlrpc_xmlrpc-client
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.7,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.7,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder_0.7,junit_junit
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-support
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-annotations
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,com.atlassian.xmlrpc_atlassian-xmlrpc-binder-testing
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,xml-apis_xml-apis
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,org.apache.xmlrpc_xmlrpc-client
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,org.apache.xmlrpc_xmlrpc-common
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,org.apache.ws.commons.util_ws-commons-util
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,cglib_cglib-full
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,commons-beanutils_commons-beanutils
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,org.apache.xmlrpc_xmlrpc-server
com.atlassian.xmlrpc_atlassian-xmlrpc-binder-parent_0.5,junit_junit
